"ESSAY";"ARGUMENT";"TEXT";"ANNOTATION"
"034";"1";"First of all, schools offer to students a good environment with experienced professors and high quality programs for studying. It creates the best conditions for students education and can force them to focus on their school work instead of wasting their time to do useless things. Second of all, schools provide lots of academic knowledge to students. Students may learn professional skills, expand their understandings and gain experiences. Therefore, they have more opprotunities to find a job and to be successful in the future. For example, as we know, employer always prefer to hire an employee of high degree who have professional skills.";""
"034";"2";"Nevertheless, it is not unreasonable that some people think that children should interrupt their school work and get a job. Whether children can learn a lot at school, there are many subjects that will be of little value to them in the future. Furthermore, children can learn social skills when they have a job. They can get more experiences that can not be obtained at school. Working helps children be more independent and teach them to esteem and manage the money that they've earned.";""
"035";"1";"To boost their sales and win over customers, companies pour a great amount of money into advertising. Most of the time, it is not about the function or quality of the commodities themselves but really the promotion of the good feeling of possessing the product. By which I mean, huge cooperation hire celebrities as the face of their product. By casting famous singers in their television advertisement, motorcycles or clothes for example, sales increase significantly since youngsters, as the target consumers, love celebrities. Since having these products shows their status, the quality obviously is not relatively important.";""
"035";"2";"However, despite the fact that advertisements can be falseful and exaggerated, it is also true that it plays and important role economically. They introduce new products, and provide various choices, not to mention they are often visually enjoyable, since they aim to grab your attention. Advertising also helps to keep prices at reasonable levels, creates a fair environment for commercial competition. Otherwise the market may be monopolistic, and the price as well as the choice will not be so selective.";""
"036";"1";"The first factor considered is the risk of accidents with guns. The accidents cannot be completely avoided although only those who have gun licenses can purchase guns. For example, we hear some news from time to time that someone was hurt by accident during the hunting. So the fewer guns possessed, the fewer accidents would happened, our surroundings would be safer with lower accident rates.";"Sufficiency"
"036";"2";"Secondly, most violent crimes are related to the abuse of guns, especially in some countries where guns are available for people. Eventually, guns will create a violent society if the trend continues. Take an example, in American, young adults and even juveniles can get access to guns, which leads to the tragedies of school gun shooting. What is worse, some terrorists are able to possess more advanced weapons than the police, which makes citizens always live in danger.";"Sufficiency"
"036";"3";"Thirdly, the possession of guns can also raise the rates of suicide. In the US, firearms remain the most common method of suicide, accounting for about 50 per cent. Unfortunately, there is an increasing trend of adolescent suicides and suicides among those age 75 and over.";"Sufficiency"
"037";"1";"An international sporting event is normal held in a country with huge interest from fans all over the world. For the time of occasions, people regardless of nationality, origin and religion will live together. People can understand more about a country, it is useful to ease tensions between nations. For example in FIFA World Cup 2010, the relation between North Korea and South Korea is dangerous for the warship sinking. The world suspected North Korea of the aggressive action. However, due to this event North Korea showed a friendship and enthuasism. It is rare times when people can learn about this country. It really help to alleviate the tension.";"Sufficiency"
"037";"2";"Besides easing tensions, an international sporting event also helps fans release patriotic emotions in a safe way. When they garther together to encourage their team, they will show their patriotic emotions. Regardless of the competition between teams, their emotions are always released in a safe way due to the sole passion of the sport. Moreover, all fans know that a sport event will attract the attention of whole the world and a lot of public media. They will try to create a beautiful image about their land and people. In Olympic Beijing 2008, Chinese tried thier best to bring the world a spectacular image about their country. First of all, foreigners came here always received the support of friendly volunteers who were young students. They were welcomed by each Chinese hospitality, beauty in each cities. Everythings is created by patriotic emotions of Chinese who wanted to bring a beautiful China to the world.";"Sufficiency"
"038";"1";"In the first instance, the progress of material technology leads to the sharp fall of price of a great number of products. About ten years ago, mobile phones ware very expensive for most members of my country, only a few of rich individuals have enough money to buy one. Today, mobile phones become a common one of household items, which due to the cheaper materials and better producing technologies. Thus, most members of our society can benefit from the consequences of technical advancements, especially the poor people.";"Sufficiency"
"038";"2";"Secondly, technical developments improve productivity, which help people to escape from daily chores, and invest more time and energy in studying and living a more meaningful life. With the development of Internet, we can enjoy the pleasure and conveniences which it brings about for us every day. In the past time, we had to spend a lot of time searching information and waiting for letters of our friends who lived far away from us. Nowadays, we can talk with our friends online, no matter where we are and how far between us. In addition, the Internet gives everyone access to the same information, this therefore leads to greater equality between individuals.";""
"038";"3";"Undoubtedly, everything has two sides and technology is not an exception. To some extent, the gap between rich people and poor is widen by technology, because only the rich people have ability to afford the expensive high-tech products, and these products can help them to earn more in return. Nevertheless, I think it is a limp opposition to the remarkable advantages of technology, and technology is not the root cause of the gap.";""
"039";"1";"Firstly, many facts about solar system can be discovered. For instance, a picture of planet earth proved that the earth is round, not flat. Another example is that it is the earth which goes around the sun, not vice versa. If it was not for the space exploration, we would never know these facts.";""
"039";"2";"Secondly, people can know more about the planet earth itself. By observing planet earth from outer space, people can find out ample things for example about the atmosphere of the planet earth. With this knowledge, people can work on something to prevent earth hazards such as global warming.";"Sufficiency"
"039";"3";"Finally, a great deal of sophisticated technology can be invented. As astronauts need to travel to outer space which does not have any oxygen to breathe in, scientists are compelled to do research on the oxygen tanks. Oxygen tanks, for instance, are proved useful not only in outer space but also underwater. Moreover, spaceships, communication satellites and space pens also contribute a lot to the society.";""
"040";"1";"It is undoubtedly certain that students can gain their practical experience by getting involved extra jobs. Part-time jobs furnish them with precious chance to practice what they are learning at their universities. In addition, that seems to be more essential the present shortage of sufficiently practical conditions supplied in universities. As a result, students who get part time jobs have not only academic knowledge but also hands-on experience. Moreover, having experienced in working environment during student time offers a distinct advantage when they apply for jobs after their graduation.";""
